kaynak,havalimani_kodu,havalimani_adi,sehir,ulke,salon_adi,terminal,bolum,kapsam,isletmeci,notlar
yurtdisi,GOT,Landvetter Havalimanı,Göteborg,İsveç,Menzies,Uluslararası Terminal,,both,Menzies,Hizmet saatleri: Uçuş zamanları
yurtdisi,GRU,Guarulhos Havalimanı,Sao Paulo,Brezilya,Espaco Banco Safra Lounge,3. Terminal,,both,,Hizmet saatleri: 23:00 - 02:00
yurtdisi,GVA,Cenevre Havalimanı,Cenevre,İsviçre,Aspire Lounge,Ana Terminal Binası,,both,Aspire,Hizmet saatleri: 06:30 - 01:30
yurtdisi,GVA,Cenevre Havalimanı,Cenevre,İsviçre,Swiss Star,1. Terminal,,both,Swiss,Hizmet saatleri: 6:00 - 20:30
yurtdisi,GYD,Haydar Aliyev Uluslararası Havalimanı,Bakü,Azerbaycan,Business Class,1. Terminal,,both,,Hizmet saatleri: Uçuş zamanları
yurtdisi,HAJ,Hannover Havalimanı,Hannover,Almanya,Melli Beese,C Terminali,,both,,Hizmet saatleri: 5:30 - 21:00
yurtdisi,HAM,Fhulsbuttel Havalimanı,Hamburg,Almanya,Business Lounge,Terminal 1,,both,,Hizmet saatleri: 7 gün 24 saat. SS'te Hamburg iki farklı havalimanı adıyla listelenmiş (Fhulsbuttel / Hamburg Uluslararası) — aynı havalimanı
yurtdisi,HAM,Fhulsbuttel Havalimanı,Hamburg,Almanya,Hamburg Airport Lounge,Terminal 1 ve Terminal 2 arası,,both,,Hizmet saatleri: Cumartesi 05:30-16:00; Diğer günler 05:30-21:00
yurtdisi,HAN,Noi Bai Uluslararası Havalimanı,Hanoi,Vietnam,Nia Lounge,2. Terminal,,both,,Hizmet saatleri: 06:00 - 24:00
yurtdisi,HAV,Jose Marti Uluslararası Havalimanı,Havana,Küba,Salon CIP,3. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,HBE,Borg El Arab Havalimanı,İskenderiye,Mısır,NATIONAL LOGISTICS SAE.,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,HEL,Helsinki-Vantaa Havalimanı,Helsinki,Finlandiya,Plaza Premium Lounge,2. Terminal,,both,Plaza Premium,Hizmet saatleri: Pazartesi 10:00-19:30; Diğer günler 06:00-19:30
yurtdisi,HKG,Hong Kong Uluslararası Havalimanı,Hong Kong,Hong Kong,Plaza Premium,1. Terminal,,both,Plaza Premium,Hizmet saatleri: 7 gün 24 saat
yurtdisi,HKT,Puket Uluslararası Havalimanı,Puket,Tayland,The Coral Executive Loounge,Ana Terminal Binası 4. kat,,both,,Hizmet saatleri: 06:00 - 00:00
yurtdisi,HND,Haneda Uluslararası Havalimanı,Tokyo,Japonya,Lounge ANA,3. Terminal,,both,ANA,Hizmet saatleri: Uçuş zamanları
yurtdisi,HRG,Hurgada Havalimanı,Hurgada,Mısır,NATIONAL LOGISTICS SAE.,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,IAD,Washington Dulles Uluslararası Havalimanı,Washington,ABD,Turkish Airlines Lounge,B Terminali (B43 numaralı kapının yanı),,both,Turkish Airlines,07.15-21.30. Anlaşmalı listede 7:00-23:00 yazıyor — saat çelişkisi var · Hizmet saatleri: 7:00 - 23:00. THY'nin kendi salonu; yurtdışı listesinde 07.15-21.30 — saat çelişkisi
yurtdisi,IAH,George Bush Kıtalararası Havalimanı,Houston,ABD,United,E Terminali,,both,United Airlines,Hizmet saatleri: 6:00 - 22:00
yurtdisi,ICN,Incheon Uluslararası Havalimanı,Incheon (Seul),Güney Kore,Asiana,1. Terminal,,both,Asiana Airlines,Hizmet saatleri: 06.00-00.30
yurtdisi,ISB,İslamabad Uluslararası Havalimanı,İslamabad,Pakistan,Airlines,Uluslararası Gidiş Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,JFK,John F. Kennedy Uluslararası Havalimanı,New York,ABD,Primeclass Lounge,T1,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,JFK,John F. Kennedy Uluslararası Havalimanı,New York,ABD,Turkish Airlines Lounge,Terminal 1 (2 ve 3 nolu kapıların arasında),,both,Turkish Airlines,"09:45-23:45. Duş, mescit, toplantı masası, IFE hizmeti. Anlaşmalı listede de var (saatler farklı yazılmış: 03:00-07:00 ve 09:00-00:00) · Hizmet saatleri: 03:00-07:00 açık ; 09:00-00:00 açık. THY'nin kendi salonu; yurtdışı listesinde 09:45-23:45 yazıyor — saat çelişkisi"
yurtdisi,JIB,Ambouli Uluslararası Havalimanı,Ambouli (Cibuti),Cibuti,Salon CIP,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,JNB,Johannesburg Havalimanı,Johannesburg,Güney Afrika,Saa Preminium,A Terminali,,both,South African Airways,Hizmet saatleri: 7:00 - 23:30
yurtdisi,JRO,Kilimanjaro Uluslararası Havalimanı,Kilimanjaro,Tanzanya,Twiga by Aspire,Ana Terminal,,both,Aspire,"Hizmet saatleri: 24 saat (Pzt, Çar, Cum, Paz); 5:00-22:00 (Sal, Per, Cmt)"
yurtdisi,KBL,Kabil Uluslararası Havalimanı,Kabil,Afganistan,Business,Uluslararası Terminal,,both,,Hizmet saatleri: 6:30 - 17:00
yurtdisi,KGL,Kigali Havalimanı,Kigali,Ruanda,Pearl,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,KHI,Jinnah Uluslararası Havalimanı,Karaçi,Pakistan,Caa CIP,Uluslararası Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,KIX,Kansai Uluslararası Havalimanı,Osaka,Japonya,KANSAI Airport Lounge,1. Terminal,,both,,Hizmet saatleri: Uçuş zamanları
yurtdisi,KRK,John Paul II Uluslararası Havaalanı,Krakow,Polonya,Balice International Airport,Terminal 1,,both,,Hizmet saatleri: Uçuş Saatleri
yurtdisi,KRT,Hartum Havalimanı,Hartum,Sudan,Sas CIP,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,KTM,Tribhuvan Uluslararası Havalimanı,Katmandu,Nepal,Horizon Service,1. Terminal,,both,,Hizmet saatleri: 05.00-03.00
yurtdisi,KTM,Tribhuvan Uluslararası Havalimanı,Katmandu,Nepal,Radisson Service,1. Terminal,,both,,Hizmet saatleri: 05.00-03.00
yurtdisi,KUL,Kuala Lumpur Uluslararası Havalimanı,Kuala Lumpur,Malezya,Global Lounge,KLIA 1. Terminali Satellite,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,KWI,Kuveyt Uluslararası Havalimanı,Kuveyt,Kuveyt,Dasman Lounge,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,KZN,Kazan Uluslararası Havalimanı,Kazan,Rusya,SKY Lounge,1A Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,LAD,Quatro de Fevereiro Havalimanı,Luanda,Angola,MENZIES AIRPORT,1. Terminal,,both,Menzies,Hizmet saatleri: 5:00 - 20:00
yurtdisi,LAX,Los Angeles Uluslararası Havalimanı,Los Angeles,ABD,Star Alliance,Tom Bradley / B Terminali,,both,Star Alliance,Hizmet saatleri: Uçuş zamanları
yurtdisi,LBV,Léon M'ba Uluslararası Havalimanı,Libreville,Gabon,Salon Samba,1. Terminal,,both,,Hizmet saatleri: Günün son uçuşuna kadar
yurtdisi,LED,Pulkovo Havalimanı,St. Petersburg,Rusya,Business Lounge (International),1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,LGW,Gatwick Havalimanı,Londra,Birleşik Krallık (İngiltere),Lounge 1,Güney Terminali,,both,,Hizmet saatleri: 4:00 - 21:00. Giriş penceresi: uçuştan en fazla 180 dk ve en az 30 dk önce
yurtdisi,LHE,Allame İkbal Uluslararası Havalimanı,Lahor,Pakistan,Salon CIP,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),Air Canada,2B Terminali,,both,Air Canada,Hizmet saatleri: 7:00 - 20:00
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),Lufthansa,2A Terminali,,both,Lufthansa,Hizmet saatleri: 5:00 - 22:00
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),No1 Lounge,T3,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),Plaza Premium Lounge,T2,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),Singapore Airlines,2B Terminali,,both,Singapore Airlines,Hizmet saatleri: 5:30 - 22:00
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),Turkish Airlines Lounge,T2,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,LHR,Heathrow Havalimanı,Londra,Birleşik Krallık (İngiltere),United Airlines,2B Terminali,,both,United Airlines,Hizmet saatleri: 5:00 - 18:00
yurtdisi,LIS,Lizbon Poertela Havalimanı,Lizbon,Portekiz,ANA Aeroportos Lounge,1. Terminali,,both,ANA Aeroportos,Hizmet saatleri: Uçuş zamanlarında
yurtdisi,LJU,Joze Pucnik Havalimanı,Lübliyana,Slovenya,Business,Uluslararası Gidiş Terminali,,both,,Hizmet saatleri: 5:00 - 23:00
yurtdisi,LOS,Murtala Muhammed Uluslararası Havalimanı,Lagos,Nijerya,Sappire Lounge,2. Terminal,,both,,Hizmet saatleri: Uçuş saatleri
yurtdisi,LUN,Kenneth Kaunda Uluslararası Havalimanı,Lusaka,Zambiya,Pearl Lounge,3. Terminali,,both,,Hizmet saatleri: Uçuş zamanlarında
yurtdisi,LUX,Luxembourg Findel International Airport,Luxembourg,Lüksemburg,Luxair Lounge,A Terminali,,both,Luxair,Hizmet saatleri: Cumartesi 04.00-18.00; Diğer günler 04.00-21.00
yurtdisi,LYS,Saint Exupery Havalimanı,Lyon,Fransa,Mont Blanc,1. Terminal,,both,,Hizmet saatleri: 7:30 - 21:30
yurtdisi,MAD,Barajas Uluslararası Havalimanı,Madrid,İspanya,Cibeles VIP,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,MAN,Manchester Havalimanı,Manchester,Birleşik Krallık (İngiltere),Aspire Lounge,2. Terminal,,both,Aspire,Hizmet saatleri: 04:00 - 22:00
yurtdisi,MCT,Maskat Uluslararası Havalimanı,Maskat,Umman,Primeclass,Ana Terminal,,both,Primeclass,Hizmet saatleri: 7 gün 24 saat
yurtdisi,MED,Prens Muhammed Bin Abdülaziz Havalimanı,Medine,Suudi Arabistan,PrimeClass Lounge,Dış Hatlar Terminali,,both,Primeclass,Hizmet saatleri: 7 gün 24 saat
yurtdisi,MEL,Tullamarine Havalimanı,Melbourne,Avustralya,Air New Zealand,2. Terminal,,both,Air New Zealand,Hizmet saatleri: 05:00 - 00:00
yurtdisi,MEX,Benito Juarez Uluslararası Havalimanı,Mexico City,Meksika,United Airlines United club,Uluslararası Gidiş Terminali,,both,United Airlines,Hizmet saatleri: Uçuş zamanları
yurtdisi,MIA,Miami Uluslararası Havalimanı,Miami,ABD,Turkish Airlines Lounge,Concourse E,,both,Turkish Airlines,Hizmet saatleri: 06:00 – 00:00. THY'nin kendi salonu; yurtdışı listesinde de var · Hizmet saatleri: 05:00 – 02:00. THY'nin kendi salonu; yurtdışı listesinde de var
yurtdisi,MIA,Miami Uluslararası Havalimanı,Miami,ABD,Turkish Airlines Lounge (Concourse H),Central Terminal – Concourse H (güvenlik kontrolünden sonra),,both,Turkish Airlines,"05.00-02.00. Duş, çocuk odası, mescit"
yurtdisi,MLA,Luqa Havalimanı,Malta,Malta,Salon CIP,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,MLE,Valena (Velana) Uluslararası Havalimanı,Male,Maldivler,Leeli,Uluslararası Terminal,,both,,Hizmet saatleri: 6:00 - 23:30
yurtdisi,MNL,Ninoy Aquino Uluslararası Havalimanı,Manila,Filipinler,Paggs,3. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,MPM,Maputo Uluslararası Havalimanı,Maputo,Mozambik,Fnb by Pearl Assist,A Terminali,,both,,Hizmet saatleri: 4:30'dan son uçuşa kadar
yurtdisi,MRA,Misrata Uluslararası Havalimanı (MRA),Misrata,Libya,Altaie Company Lounge,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,MRS,Marsilya Provence Havalimanı,Marsilya,Fransa,Cézanne Lounge,Terminal 1B,,both,,Hizmet saatleri: 05.00-22.10
yurtdisi,MRU,Sir Seewoosagur Ramgoolam Uluslararası Havalimanı,Port Louis,Mauritius,Les Salons Amedee Maingard,Terminal 1 (28 numaralı gate karşısı),,both,,Hizmet saatleri: 06:00-23:00
yurtdisi,MUC,Münih Uluslararası Havalimanı,Münih,Almanya,Havalimanı Lounge World,1/B Terminali,,both,,Hizmet saatleri: 5:15 - 20:30
yurtdisi,MXP,Malpensa Havalimanı,Milano,İtalya,Montale Lounge,1. Terminal,,both,,Hizmet saatleri: 5:00 - 22:00
yurtdisi,NAP,Napoli Uluslararası Havalimanı,Napoli,İtalya,Pearl,1. Terminal (C17-C19 Kapıları Yanı),,both,,Hizmet saatleri: 5:00 - 21:00
yurtdisi,NBO,Nairobi Jomo Kenyatta Uluslararası Havalimanı,Nairobi,Kenya,Turkish Airlines Lounge (Star Alliance),Terminal 1E (3 numaralı kapının yanı),,both,Turkish Airlines,"24 saat. Duş, çocuk odası, mescit"
yurtdisi,NCE,Cote d'Azur Uluslararası Havalimanı,Nice,Fransa,The Canopy Lounge,1. Terminal,,both,,Hizmet saatleri: 6:00 - 21:00
yurtdisi,NDJ,Encemine Havalimanı,Encemine (N'Djamena),Çad,Tchad Handling Services LTD.,Ana Terminal,,both,,Hizmet saatleri: Uçuş zamanları
yurtdisi,NIM,Diori Hamani Uluslararası Havalimanı,Niamey,Nijer,Salon CIP,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,NKC,Nuakşot Havalimanı,Nuakşot,Moritanya,Ya Marhaba,Ana Terminal,,both,,Hizmet saatleri: Kalkıştan 4 saat öncesi. Giriş penceresi: kalkıştan 4 saat önce
yurtdisi,NRT,Narita Uluslararası Havalimanı,Tokyo (Narita),Japonya,Turkish Airlines Lounge,"Güney Kanadı, Ek Terminal 4, Kapı 47 (anlaşmalı listede: Terminal 1, Uydu 4, Kapı 47)",,both,Turkish Airlines,7.30-21.45. Duş odası saatleri 7:30-20:30 · Hizmet saatleri: 07:30 - 21:45 (Lokal Saat). THY'nin kendi salonu; yurtdışı listesinde de var
yurtdisi,NSI,Yaunde Uluslararası Havalimanı,Yaunde,Kamerun,Salon Privatif,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,NUE,Nürnberg Havalimanı,Nürnberg,Almanya,Dürer,Güvenlik Sonrası (Pasaport Kontrolü Öncesi),,both,,Hizmet saatleri: 4:00 - 19:00
yurtdisi,OHD,Ohrid St. Paul the Apostle Airport,Ohri,Kuzey Makedonya,Primeclass CIP Lounge,International Terminal,,both,Primeclass,Hizmet saatleri: 09:00 – 18:00
yurtdisi,OPO,Francisco Sa Carneiro Havalimanı,Porto,Portekiz,Lounge Ana,1. Terminali,,both,ANA Aeroportos,Hizmet saatleri: 04:00 - 23:00
yurtdisi,ORD,O'Hare Uluslararası Havalimanı,Şikago,ABD,LOT Business Lounge,5. Terminal,,both,LOT,Hizmet saatleri: 8:00-00:00
yurtdisi,ORD,O'Hare Uluslararası Havalimanı,Şikago,ABD,Swissport,5. Terminal,,both,Swissport,Hizmet saatleri: 7:00 - 21:30
yurtdisi,ORN,Oran Ahmed Ben Bella Havalimanı,Oran,Cezayir,Air Algerie,1. Terminali,,both,Air Algerie,Hizmet saatleri: Uçuş Saatleri
yurtdisi,OSL,Gardermoen Havalimanı,Oslo,Norveç,OSL Lounge,Dış Hatlar Gidiş Terminali 2. Kat,,both,,Hizmet saatleri: 05:15 - 20:30
yurtdisi,OTP,Henri Coanda Uluslararası Havalimanı,Bükreş,Romanya,Satellite Business,Uluslararası Gidiş Terminali (9. Kapı Üstü),,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,OTP,Henri Coanda Uluslararası Havalimanı,Bükreş,Romanya,Tarom Business,Uluslararası Gidiş Terminali (3. Kapı Üstü),,both,Tarom,Hizmet saatleri: 7 gün 24 saat
yurtdisi,OUA,Vagadugu Havalimanı,Vagadugu,Burkina Faso,Salon CIP,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,OUA,Vagadugu Havalimanı,Vagadugu,Burkina Faso,Servair Lounge,Ana Terminal,,both,Servair,Hizmet saatleri: 7 gün 24 saat
yurtdisi,OUA,Vagadugu Havalimanı,Vagadugu,Burkina Faso,Yennenga Lounge,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,PEK,Pekin Başkent Uluslararası Havalimanı,Pekin,Çin,Air China Lounge,3E Terminali,,both,Air China,Hizmet saatleri: 06:00 - 22:00
yurtdisi,PMO,Falcone Borsellino Havalimanı,Palermo,İtalya,Prima Vista Lounge,1. Terminal,,both,,Hizmet saatleri: Uçuş Saatleri
yurtdisi,PNH,Phnom Penh Uluslararası Havalimanı,Phnom Penh,Kamboçya,Plaza Premium lounge,Uluslararası Terminal,,both,Plaza Premium,Hizmet saatleri: Uçuş zamanları. Plaza Premium — SS'te şehir hücresinde 'Kamboçya' yazıyor
yurtdisi,PNR,Pointe-Noire Havalimanı,Pointe-Noire,Kongo,Salon Ebene,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,PRG,Vaclac Havel Havalimanı,Prag,Çekya,Master Card,1. Terminal,,both,,Hizmet saatleri: 5:30 - 23:00
yurtdisi,PRN,Priştine Uluslararası Havalimanı,Priştine,Kosova,Lounge 1702,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,PTY,Tocumen Uluslararası Havalimanı,Panama,Panama,Copa,Terminal 1 / 2,,both,Copa Airlines,Hizmet saatleri: 05:30 – 21:30 (T1); 05:30 – 21:00 (T2)
yurtdisi,PVG,Pudong Uluslararası Havalimanı,Şanghay,Çin,Air China Business 71,2. Terminal,,both,Air China,Hizmet saatleri: 06.00-02.00
yurtdisi,RAK,Marrakech Menara Havalimanı,Marakeş,Fas,Oasis (RAM) Lounge,Terminal 1,,both,Royal Air Maroc,Hizmet saatleri: 7/24 hours
yurtdisi,RIX,Riga Uluslararası Havalimanı,Riga,Letonya,Primeclass Riga Business,E Terminali,,both,Primeclass,Hizmet saatleri: 6:00 - 23:00
yurtdisi,RUH,King Khalid Uluslararası Havalimanı,Riyad,Suudi Arabistan,Cozaya Lounge,Terminal 5,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,SCL,Arturo Merino Benitez Havalimanı,Santiago,Şili,Primeclass Santiago SPA,1. Terminal,,both,Primeclass,Hizmet saatleri: Uçuş zamanlarında
yurtdisi,SEA,Seattle-Tacoma Uluslararası Havalimanı,Seattle,ABD,Club At Seattle,Güney Satellite Concourse Terminali,,both,,Hizmet saatleri: 6:00 - 19:00
yurtdisi,SEZ,Seyşeller Uluslararası Havalimanı,Seyşeller,Seyşeller,Air Seychelles (Salon Vallee De Mai),Ana terminal,,both,Air Seychelles,Hizmet saatleri: Uçuş saatleri
yurtdisi,SFO,San Francisco Uluslararası Havalimanı,San Francisco,ABD,The Club Lounge,Terminal 1,,both,,Hizmet saatleri: 4.30 - 23.30
yurtdisi,SFO,San Francisco Uluslararası Havalimanı,San Francisco,ABD,United Club,Uluslararası G Terminali,,both,United Airlines,Hizmet saatleri: 7:00 - 22:30
yurtdisi,SGN,Tan Son Nhat Uluslararası Havalimanı,Ho Chi Minh,Vietnam,Le Saigonnais Business,2. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,SHJ,Şarika Havalimanı,Şarika,Birleşik Arap Emirlikleri,The Lounge,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,SIN,Singapur Changi Havalimanı,Singapur,Singapur,Sats Premium Lounge,1. Terminal,,both,SATS,Hizmet saatleri: 06:00 - 01:00
yurtdisi,SJJ,Saraybosna Uluslararası Havalimanı,Saraybosna,Bosna Hersek,Business Lounge,B Terminali,,both,,Hizmet saatleri: 05:00-22:00
yurtdisi,SKG,Selanik Makedonya Havalimanı,Selanik,Yunanistan,Aegean,2. Terminal,,both,Aegean Airlines,Hizmet saatleri: 7 gün 24 saat
yurtdisi,SKP,Üsküp Uluslararası Havalimanı,Üsküp,Kuzey Makedonya,TAV Primeclass Lounge,Tek Terminal,,both,TAV Primeclass,Hizmet saatleri: 7 Gün / 24 Saat
yurtdisi,SOF,Sofya Uluslararası Havalimanı,Sofya,Bulgaristan,PrimeClass Lounge,2. Terminal,,both,Primeclass,Hizmet saatleri: 7 gün 24 saat
yurtdisi,SSH,Şarm El-Şeyh Uluslararası Havalimanı,Şarm El-Şeyh,Mısır,Pearl Assist,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,STR,Stuttgart Havalimanı,Stuttgart,Almanya,Airport Lounge,3. Terminal,,both,,Hizmet saatleri: 05:00 - 21:30
yurtdisi,SZG,Wolfgang Amadeus Mozart Havalimanı,Salzburg,Avusturya,Business,1. Terminal,,both,,Hizmet saatleri: 06.00-21.00
yurtdisi,TAS,İslam Kerimov Taşkent Uluslararası Havalimanı,Taşkent,Özbekistan,Anjir Business Lounge,Terminal 2,,both,,Hizmet saatleri: Uçuş saatleri
yurtdisi,TBS,Tiflis Havalimanı,Tiflis,Gürcistan,Primeclass,Gidiş Terminali,,both,Primeclass,Hizmet saatleri: 7 gün 24 saat
yurtdisi,TBZ,Tebriz Havalimanı,Tebriz,İran,International CIP,Yakın Uluslararası Gidiş Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,TIA,Tiran Uluslararası Havalimanı,Tiran,Arnavutluk,Business Lounge,Terminal 1,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,TIF,Taif Bölgesel Havaalanı,Taif,Suudi Arabistan,Hayyak Lounge,Dış Hatlar Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,TLL,Lennart Meri Tallinn Havalimanı,Tallinn,Estonya,Airport LHV Lounge,Yolcu terminalinin 2. katı (Shengen Bölgesi),,both,,Hizmet saatleri: Pzt-Pzr 4:30 - 22:00
yurtdisi,TLS,Toulouse-Blagnac Havalimanı,Toulouse,Fransa,La Croix Du Sud Lounge,Salon C,,both,,Hizmet saatleri: Pzt-Cuma 5:15-21:00; Cmt 05:15-20:00; Pazar 05:45-21:00
yurtdisi,TNR,Ivato Uluslararası Havalimanı,Antananarivo,Madagaskar,Prime Class,C Terminali,,both,Primeclass,Hizmet saatleri: 7 gün 24 saat
yurtdisi,TPE,Taoyuan Uluslararası Havalimanı,Taoyuan (Taipei),Tayvan,Plaza Premium,2. Terminal,,both,Plaza Premium,Hizmet saatleri: 5:00 - 23:00
yurtdisi,TRN,Torino Havalimanı,Torino,İtalya,SAGAT S.p.A Havalimanı,1. Terminal,,both,SAGAT,Hizmet saatleri: 05.00 – 21.00 (yerel saat)
yurtdisi,TSR,Timisoara Traian Vuia Uluslararası Havalimanı,Temeşvar,Romanya,S.N. Aeroportul International Timisoara,Ana Terminal,,both,,Hizmet saatleri: Uçuş saatleri
yurtdisi,TUN,Kartaca Havalimanı,Tunus,Tunus,Salon Privilige,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,UBN,Cengiz Han Uluslararası Havalimanı,Ulanbator,Moğolistan,Blue Sky Lounge,Dış Hatlar Terminali,,both,,Hizmet saatleri: 7 gün 24 saat. Yeni Chinggis Khaan havalimanı; eski havalimanı kodu ULN idi
yurtdisi,VAR,Varna Havalimanı,Varna,Bulgaristan,Business,2. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,VCE,Marco Polo Havalimanı,Venedik,İtalya,Marco Polo,Ana Terminal,,both,,Hizmet saatleri: 5:00 - 22:00
yurtdisi,VIE,Viyana Uluslararası Havalimanı,Viyana,Avusturya,Viyana Lounge,Terminal 1,,both,,Hizmet saatleri: 04.30-22.00
yurtdisi,VKO,Moskova Vnukovo Uluslararası Havalimanı,Moskova,Rusya,Istanbul-Moscow,Terminal A,,both,Turkish Airlines,Hizmet saatleri: 7 gün 24 saat. THY'nin kendi salonu; yurtdışı listesinde de var
yurtdisi,VLC,Valensiya Havalimanı,Valensiya,İspanya,Joan Olivert,1. Terminal,,both,,Hizmet saatleri: 5:00 - 23:00
yurtdisi,VNO,Vilnius Uluslararası Havalimanı,Vilnius,Litvanya,Narbutas Business,1. Terminal,,both,,Hizmet saatleri: 4:00 - 22:00
yurtdisi,WAW,Chopin Uluslararası Havalimanı,Varşova,Polonya,Bolero,Schengen Olmayan Bölge,,both,,Hizmet saatleri: 6:30-22:00
yurtdisi,WAW,Chopin Uluslararası Havalimanı,Varşova,Polonya,Mazurek (Star Alliance Lounge),Schengen Olmayan Bölge,,both,Star Alliance,Hizmet saatleri: 06:00-22:00
yurtdisi,WAW,Chopin Uluslararası Havalimanı,Varşova,Polonya,PPL,Schengen Olmayan Bölge,,both,,Hizmet saatleri: Uçuş saatleri
yurtdisi,YUL,Montreal-Pierre Elliot Trudeau Uluslararası Havalimanı,Montreal,Kanada,Maple Leaf Lounge,Uluslararası Terminal,,both,Air Canada,Hizmet saatleri: 04:30 – 23:15
yurtdisi,YVR,Vancouver Uluslararası Havalimanı,Vancouver,Kanada,Skyteam,Uluslararası Gidiş Terminali,,both,SkyTeam,Hizmet saatleri: Uçuş zamanları
yurtdisi,YYZ,Lester B. Pearson Uluslararası Havalimanı,Toronto,Kanada,Ac Maple Leaf,1. Terminal,,both,Air Canada,Hizmet saatleri: 6:00 - 00:45
yurtdisi,ZAG,Zagreb Havalimanı,Zagreb,Hırvatistan,Prime Class,Uluslararası Gidiş Terminali,,both,Primeclass,Hizmet saatleri: Uçuş zamanları
yurtdisi,ZNZ,Abeid Amani Karume Uluslararası Havalimanı,Zanzibar,Tanzanya,Marhaba Lounge,3. Terminal,,both,Marhaba,Hizmet saatleri: 7 gün 24 saat
yurtdisi,ZRH,Zürih Kloten Havalimanı,Zürih,İsviçre,Aspire Lounge,E Terminali,,both,Aspire,Hizmet saatleri: 6:00 - 22:00
